iter	RMSE
277	6.009941375
278	6.004002669
279	5.998194367
280	5.993225094
281	5.987343967
282	5.981623489
283	5.975422921
284	5.969607895
285	5.964910695
286	5.959629925
287	5.954621546
288	5.94885662
289	5.943291429
290	5.938269216
291	5.933658337
292	5.928183691
293	5.924065334
294	5.918459326
295	5.913535208
296	5.908068514
297	5.903304979
298	5.898062754
299	5.892512346
300	5.888529666
301	5.883927629
302	5.877649522
303	5.873203029
304	5.869287127
305	5.8653826
306	5.860513827
307	5.856702919
308	5.852069687
309	5.848653725
310	5.84296714
311	5.838244071
312	5.833329244
313	5.829685183
314	5.824596853
315	5.820042334
316	5.816440045
317	5.813785163
318	5.809158834
319	5.806027908
320	5.80183698
321	5.797977028
322	5.793650305
323	5.789251046
324	5.786464217
325	5.782363761
326	5.777537905
327	5.773428849
328	5.768650092
329	5.764413814
330	5.760475928
331	5.754905145
332	5.750523643
333	5.74617325
334	5.742090773
335	5.739046947
336	5.735622734
337	5.731583292
338	5.728877301
339	5.726790243
340	5.722234518
341	5.719427248
342	5.715996405
343	5.712722986
344	5.709740712
345	5.705606942
346	5.701428258
347	5.697712433
348	5.69384863
349	5.689942576
350	5.686237892
351	5.683507675
352	5.680617478
353	5.676749431
354	5.674339768
355	5.671159419
356	5.667937168
357	5.664743345
358	5.662393165
359	5.658960115
360	5.655494385
361	5.653004379
362	5.650192487
363	5.646400804
364	5.643742717
365	5.640160616
366	5.636944099
367	5.63347508
368	5.630686559
369	5.627976343
370	5.625480655
371	5.622619928
372	5.619775578
373	5.615709689
374	5.613522472
375	5.610861679
376	5.607541493
377	5.604940278
378	5.601610911
379	5.599330058
380	5.597137692
381	5.594446238
382	5.593240112
383	5.590939946
384	5.587373149
385	5.584590493
386	5.581706145
387	5.578277991
388	5.576498149
389	5.57361452
390	5.570642985
391	5.568492243
392	5.566540636
393	5.563099385
394	5.560168483
395	5.558300836
396	5.556034872
397	5.554176063
398	5.551915768
399	5.548961191
400	5.546841647
401	5.54481727
402	5.542736734
403	5.539741945
404	5.537501702
405	5.535822737
406	5.533829147
407	5.531553823
408	5.529644402
409	5.527559974
410	5.525771962
411	5.523556894
412	5.520599542
413	5.519257778
414	5.51782671
415	5.515466588
416	5.514022008
417	5.51200922
418	5.510490651
419	5.508209624
420	5.505019146
421	5.503304832
422	5.500679589
423	5.498974421
424	5.496935617
425	5.494590978
426	5.492411662
427	5.490462028
428	5.488330259
429	5.485446136
430	5.483598482
431	5.481371171
432	5.479497198
433	5.478029456
434	5.475634863
435	5.473781485
436	5.472733633
437	5.471138727
438	5.469038762
439	5.467628768
440	5.466088085
441	5.464432586
442	5.463083604
443	5.461572847
444	5.459869601
445	5.458506279
446	5.456309425
447	5.454698987
448	5.453626483
449	5.45196176
450	5.450601424
451	5.44909097
452	5.44674738
453	5.445426583
454	5.443863667
455	5.442371977
456	5.440454095
457	5.438399145
458	5.43687
459	5.43424348
460	5.432977753
461	5.431328127
462	5.428900191
463	5.426881213
464	5.425440358
465	5.424055771
466	5.422200532
467	5.419997054
468	5.417512537
469	5.41613671
470	5.414363615
471	5.412917384
472	5.411971984
473	5.410577025
474	5.408472089
475	5.406828862
476	5.405368955
477	5.404423768
478	5.402750174
479	5.401241835
480	5.399706747
481	5.397661869
482	5.396307654
483	5.394118732
484	5.392445864
485	5.391296006
486	5.389819732
487	5.388316674
488	5.387336246
489	5.385980262
490	5.385124574
491	5.383639904
492	5.381976425
493	5.380691505
494	5.379851734
495	5.378838506
496	5.377038157
497	5.376136592
498	5.375392402
499	5.37361544
